"Gencode Id","Gene Symbol","Variant Id","SNP Id","P-Value","NES","Tissue"
"ENSG00000244045.12","TMEM199","chr17_28392769_G_A_b38","rs35714695","0.0000040","-0.17","Esophagus - Mucosa"
"ENSG00000244045.12","TMEM199","chr17_28392769_G_A_b38","rs35714695","0.0000079","-0.19","Adipose - Subcutaneous"
"ENSG00000244045.12","TMEM199","chr17_28392769_G_A_b38","rs35714695","0.000011","-0.37","Brain - Spinal cord (cervical c-1)"
"ENSG00000244045.12","TMEM199","chr17_28392769_G_A_b38","rs35714695","0.000056","-0.19","Breast - Mammary Tissue"
"ENSG00000244045.12","TMEM199","chr17_28392769_G_A_b38","rs35714695","0.00010","-0.094","Whole Blood"
"ENSG00000244045.12","TMEM199","chr17_28392769_G_A_b38","rs35714695","0.00019","-0.14","Nerve - Tibial"
"ENSG00000109084.13","TMEM97","chr17_28392769_G_A_b38","rs35714695","5.9e-9","-0.32","Cells - Cultured fibroblasts"
"ENSG00000109084.13","TMEM97","chr17_28392769_G_A_b38","rs35714695","3.1e-7","-0.25","Adipose - Subcutaneous"
"ENSG00000109084.13","TMEM97","chr17_28392769_G_A_b38","rs35714695","0.0000023","-0.44","Brain - Caudate (basal ganglia)"
"ENSG00000109084.13","TMEM97","chr17_28392769_G_A_b38","rs35714695","0.0000026","-0.27","Breast - Mammary Tissue"
"ENSG00000109084.13","TMEM97","chr17_28392769_G_A_b38","rs35714695","0.0000069","-0.25","Adipose - Visceral (Omentum)"
"ENSG00000109084.13","TMEM97","chr17_28392769_G_A_b38","rs35714695","0.0000078","-0.16","Whole Blood"
"ENSG00000109084.13","TMEM97","chr17_28392769_G_A_b38","rs35714695","0.0000083","-0.24","Artery - Tibial"
"ENSG00000109084.13","TMEM97","chr17_28392769_G_A_b38","rs35714695","0.000032","-0.16","Esophagus - Muscularis"
"ENSG00000109084.13","TMEM97","chr17_28392769_G_A_b38","rs35714695","0.000057","-0.22","Heart - Left Ventricle"
"ENSG00000109084.13","TMEM97","chr17_28392769_G_A_b38","rs35714695","0.000069","-0.23","Thyroid"
"ENSG00000004142.11","POLDIP2","chr17_28392769_G_A_b38","rs35714695","6.6e-10","-0.32","Testis"
"ENSG00000004142.11","POLDIP2","chr17_28392769_G_A_b38","rs35714695","7.3e-9","-0.32","Brain - Cortex"
"ENSG00000004142.11","POLDIP2","chr17_28392769_G_A_b38","rs35714695","3.0e-7","-0.16","Nerve - Tibial"
"ENSG00000004142.11","POLDIP2","chr17_28392769_G_A_b38","rs35714695","0.0000020","-0.15","Artery - Aorta"
"ENSG00000004142.11","POLDIP2","chr17_28392769_G_A_b38","rs35714695","0.0000023","-0.12","Thyroid"
"ENSG00000004142.11","POLDIP2","chr17_28392769_G_A_b38","rs35714695","0.0000040","-0.28","Pituitary"
"ENSG00000004142.11","POLDIP2","chr17_28392769_G_A_b38","rs35714695","0.000013","-0.11","Artery - Tibial"
"ENSG00000004142.11","POLDIP2","chr17_28392769_G_A_b38","rs35714695","0.000014","-0.24","Brain - Cerebellum"
"ENSG00000004142.11","POLDIP2","chr17_28392769_G_A_b38","rs35714695","0.000036","-0.096","Muscle - Skeletal"
"ENSG00000004142.11","POLDIP2","chr17_28392769_G_A_b38","rs35714695","0.000047","-0.24","Brain - Caudate (basal ganglia)"
"ENSG00000004142.11","POLDIP2","chr17_28392769_G_A_b38","rs35714695","0.000071","-0.090","Lung"
"ENSG00000004142.11","POLDIP2","chr17_28392769_G_A_b38","rs35714695","0.000084","-0.22","Brain - Cerebellar Hemisphere"
"ENSG00000004142.11","POLDIP2","chr17_28392769_G_A_b38","rs35714695","0.00012","-0.088","Skin - Not Sun Exposed (Suprapubic)"
"ENSG00000004139.13","SARM1","chr17_28392769_G_A_b38","rs35714695","0.000012","-0.19","Thyroid"
"ENSG00000004139.13","SARM1","chr17_28392769_G_A_b38","rs35714695","0.000088","-0.25","Pituitary"
"ENSG00000004139.13","SARM1","chr17_28392769_G_A_b38","rs35714695","0.00015","-0.14","Adipose - Visceral (Omentum)"
